date,y,trend,yearly
,0.4715417,0.65963197,0.6229099
,0.5552126,0.6594761,0.5651842
,0.57409066,0.65932,0.5667493
,0.51788497,0.6591637,0.61620116
,0.4333468,0.65900713,0.66505504
,0.38928944,0.6588504,0.66631985
,0.42457095,0.6586934,0.6122698
,0.5182538,0.65853614,0.5419171
,0.60463613,0.6583787,0.51173705
,0.62217665,0.65822107,0.5515395
,0.55956966,0.6580632,0.6393436
,0.4644498,0.65790504,0.7152967
,0.4081554,0.65774673,0.72521466
,0.4328956,0.6575882,0.6614498
,0.52100056,0.65742934,0.57002693
,0.6090797,0.65727043,0.51780623
,0.6361744,0.65711117,0.5434267
,0.5895312,0.6569517,0.6283818
,0.5133575,0.65679204,0.7100638
,0.47421056,0.6566321,0.7275567
,0.5093443,0.65647197,0.6664746
,0.5973175,0.65631163,0.5696098
,0.6734092,0.65615106,0.50540495
,0.67838943,0.65599024,0.5175454
,0.6039041,0.6558292,0.593006
,0.50003946,0.65566796,0.67214197
,0.43900138,0.6555065,0.69315076
,0.46200415,0.6553448,0.63774246
,0.5491616,0.6551829,0.5441287
,0.63505197,0.6550207,0.47795123
,0.658218,0.65485835,0.48314574
,0.60723203,0.65469575,0.54952043
,0.5285911,0.65453297,0.62109274
,0.49036044,0.6543699,0.63860375
,0.5292159,0.65420663,0.5841379
,0.62116045,0.65404314,0.4944345
,0.6985856,0.65387946,0.43315634
,0.7014156,0.6537155,0.44317323
,0.6237782,0.6535514,0.51471907
,0.5206599,0.653387,0.5930971
,0.46860665,0.6532224,0.6197769
,0.5090619,0.6530576,0.5757628
,0.61665684,0.6528925,0.4947569
,0.7164754,0.6527272,0.43668634
,0.73820484,0.6525617,0.44210574
,0.6674675,0.65239596,0.50216836
,0.5563963,0.65223,0.5666882
,0.48553032,0.65206385,0.58368206
,0.50507593,0.65189743,0.53985405
,0.5987887,0.65173084,0.47091776
,0.696936,0.65156394,0.433823
,0.72842914,0.6513969,0.46217516
,0.67313886,0.6512296,0.5391542
,0.57596177,0.6510621,0.60903823
,0.5124155,0.6508943,0.6190179
,0.5319839,0.6507263,0.55966556
,0.6215452,0.6505582,0.47307444
,0.7158303,0.65038973,0.42197102
,0.74680454,0.6502211,0.44277072
,0.69449264,0.65005225,0.5180199
,0.60134315,0.64988315,0.58934224
,0.53978264,0.6497138,0.60147345
,0.5574174,0.6495443,0.54426724
,0.6414368,0.6493745,0.4607451
,0.7286367,0.64920455,0.41468874
,0.7532571,0.6490344,0.44193095
,0.69660974,0.6488639,0.52220035
,0.600909,0.64869326,0.593301
,0.5374135,0.6485224,0.5976124
,0.5528976,0.64835125,0.526247
,0.63485825,0.64817995,0.42736223
,0.7216749,0.64800835,0.37159428
,0.7496359,0.6478366,0.39974123
,0.7011857,0.6476646,0.49157444
,0.6178317,0.64749235,0.5794675
,0.5678697,0.6473199,0.5974311
,0.59370255,0.64714724,0.5296833
,0.67851746,0.6469743,0.42283773
,0.7581179,0.64680123,0.35239798
,0.76920056,0.6466279,0.36792144
,0.6977701,0.64645433,0.4569853
,0.59107137,0.6462805,0.55432665
,0.52340287,0.6461065,0.5893152
,0.5412126,0.64593226,0.53687125
,0.6284697,0.6457578,0.434694
,0.7183714,0.6455831,0.35472435
,0.74294114,0.6454082,0.3504349
,0.68374157,0.64523304,0.4189121
,0.5855888,0.64505774,0.50513726
,0.5231059,0.6448821,0.5442922
,0.5449241,0.6447063,0.5099722
,0.63704294,0.6445303,0.4324786
,0.7329459,0.644354,0.37431127
,0.7626707,0.64417756,0.38208458
,0.70459354,0.6440008,0.4513199
,0.6013072,0.64382386,0.530289
,0.5279092,0.6436467,0.5593903
,0.53653157,0.64346933,0.5159456
,0.61832595,0.6432917,0.43068272
,0.7110068,0.6431139,0.36395803
,0.7459219,0.6429359,0.36023593
,0.699039,0.6427576,0.41547433
,0.6080829,0.6425791,0.48183194
,0.5431266,0.6424004,0.5055489
,0.55333227,0.6422214,0.46870822
,0.6299964,0.6420422,0.40289897
,0.7134862,0.64186287,0.3644474
,0.7387317,0.6416832,0.39031363
,0.68454134,0.6415034,0.468546
,0.58963794,0.64132327,0.546138
,0.52343166,0.641143,0.56863385
,0.533441,0.6409625,0.5215422
,0.6093795,0.6407818,0.44201553
,0.69091094,0.6406008,0.391613
,0.7132985,0.64041966,0.410412
,0.6567272,0.6402382,0.48695186
,0.56174195,0.6400566,0.566712
,0.4992039,0.63987476,0.59284055
,0.5169431,0.63969266,0.5485416
,0.6030865,0.6395104,0.46927387
,0.69390917,0.6393278,0.41566464
,0.72059596,0.639145,0.4276845
,0.6602925,0.6389621,0.494744
,0.55353975,0.63877887,0.56431085
,0.47491887,0.6385954,0.58246416
,0.4786489,0.6384118,0.5355612
,0.5593728,0.63822794,0.46122724
,0.65674454,0.6380438,0.42002708
,0.70035815,0.63785946,0.44901606
,0.66124547,0.6376749,0.5323561
,0.57204825,0.63749015,0.61165565
,0.5014633,0.6373052,0.62890637
,0.50239205,0.63711995,0.57020175
,0.5728873,0.6369345,0.47742832
,0.6584535,0.63674885,0.41874015
,0.6934476,0.63656294,0.4392466
,0.65028024,0.63637686,0.5281672
,0.55948967,0.6361905,0.62658834
,0.4862893,0.636004,0.6699708
,0.48172018,0.63581717,0.63402987
,0.54505664,0.63563013,0.5504937
,0.6255326,0.6354429,0.48192072
,0.6611305,0.63525546,0.47513416
,0.62498003,0.63506776,0.5282213
,0.54442495,0.6348798,0.5951295
,0.47893256,0.6346917,0.6232418
,0.47432095,0.63450336,0.5945619
,0.528211,0.6343148,0.53896797
,0.59272397,0.634126,0.50972116
,0.61194795,0.63393694,0.54043907
,0.56512207,0.6337477,0.61696184
,0.48282585,0.6335582,0.68618655
,0.4236849,0.6333685,0.6956606
,0.42963096,0.6331786,0.6340277
,0.49379623,0.63298845,0.5413343
,0.56544065,0.6327981,0.48074463
,0.588375,0.63260746,0.49234217
,0.5435047,0.63241667,0.5635107
,0.46334225,0.6322256,0.6382715
,0.4074787,0.6320343,0.6589154
,0.41731596,0.63184285,0.60907316
,0.48452428,0.6316511,0.52615875
,0.556938,0.6314592,0.47388813
,0.57751435,0.631267,0.49526075
,0.52719635,0.63107467,0.5808499
,0.43932503,0.630882,0.67571265
,0.3749329,0.6306892,0.71946174
,0.3776823,0.63049614,0.68958783
,0.44200927,0.63030285,0.61618257
,0.5182141,0.63010937,0.5579584
,0.55010116,0.6299156,0.5583582
,0.5164412,0.62972164,0.6148798
,0.44521493,0.62952745,0.68397284
,0.39039198,0.6293331,0.71651244
,0.38975036,0.6291384,0.69584334
,0.43626726,0.62894356,0.6490955
,0.4846794,0.6287485,0.623657
,0.48800382,0.6285532,0.6478454
,0.43527538,0.62835765,0.70708615
,0.36113536,0.6281619,0.75474465
,0.31954563,0.6279659,0.749551
,0.34145433,0.62776977,0.6902855
,0.4094276,0.6275733,0.6197167
,0.46916264,0.6273767,0.5931137
,0.4699986,0.6271798,0.6343961
,0.40403542,0.6269827,0.713743
,0.31365862,0.6267854,0.76546586
,0.26107544,0.62658787,0.7348475
,0.28213057,0.6263901,0.6200244
,0.3589697,0.6261921,0.47721863
,0.43269372,0.6259939,0.38381115
,0.44685102,0.6257955,0.38482785
,0.389714,0.6255968,0.4613399
,0.30346757,0.6253979,0.5440401
,0.25304642,0.6251988,0.56268114
,0.27762014,0.62499946,0.49591285
,0.36079764,0.6247999,0.38562357
,0.44202542,0.6246001,0.3056301
,0.46097663,0.62440014,0.30767485
,0.4019364,0.6241999,0.38399258
,0.3055356,0.6239994,0.47333688
,0.23881209,0.6237988,0.5055648
,0.24611247,0.62359786,0.4520142
,0.3170913,0.6233967,0.3452624
,0.3953511,0.6231954,0.25470382
,0.42078385,0.62299377,0.23663199
,0.3739512,0.622792,0.29542708
,0.28924626,0.62259,0.3832919
,0.22784421,0.6223877,0.43712264
,0.23113167,0.6221853,0.42418367
,0.28989094,0.6219826,0.36301327
,0.35231256,0.6217796,0.30558366
,0.36421147,0.62157655,0.2959329
,0.31069237,0.6213731,0.33728093
,0.22759727,0.62116957,0.39195386
,0.17407838,0.6209657,0.41271865
,0.18752348,0.62076175,0.3803192
,0.25489998,0.6205574,0.31801444
,0.32259494,0.620353,0.27235848
,0.33715272,0.62014824,0.27579573
,0.28596544,0.6199433,0.32058173
,0.2069332,0.61973816,0.36452198
,0.15957347,0.61953276,0.36419034
,0.1795339,0.6193272,0.30983084
,0.25117034,0.6191213,0.2346287
,0.31901878,0.6189153,0.19062561
,0.3300055,0.61870897,0.20930445
,0.27411902,0.6185025,0.276924
,0.19268367,0.6182958,0.3438353
,0.14754716,0.61808884,0.36124983
,0.1740759,0.61788166,0.3179235
,0.25378013,0.61767423,0.24895063
,0.32742643,0.6174666,0.20972952
,0.33923584,0.6172588,0.23440468
,0.27918577,0.6170507,0.30992347
,0.191152,0.61684245,0.38520378
,0.14046827,0.6166339,0.40858316
,0.16490972,0.61642516,0.36552358
,0.24582422,0.6162162,0.2884673
,0.32157183,0.616007,0.23178697
,0.33335268,0.6157976,0.23101708
,0.26950783,0.61558795,0.27717453
,0.17484084,0.6153781,0.3252616
,0.11764535,0.615168,0.32999808
,0.13886198,0.6149577,0.28122783
,0.2212686,0.61474717,0.21191353
,0.301856,0.6145364,0.17272612
,0.31855035,0.6143254,0.19283092
,0.25634116,0.6141142,0.2570522
,0.15847048,0.61390275,0.31707302
,0.09432113,0.6136911,0.32824004
,0.10763323,0.61347926,0.28382564
,0.18399438,0.6132671,0.22035694
,0.26174536,0.61305475,0.1896475
,0.2782949,0.61284226,0.21872526
,0.21738926,0.6126295,0.28838128
,0.1217159,0.61241645,0.3471368
,0.06153786,0.61220324,0.3504187
,0.0823625,0.6119898,0.29520923
,0.1705817,0.6117761,0.22338909
,0.26283073,0.6115622,0.1905218
,0.29214144,0.61134815,0.22322825
,0.23687842,0.61113375,0.2975384
,0.13638741,0.61091924,0.3553226
,0.061892927,0.6107044,0.34734896
,0.064569086,0.61048937,0.27109274
,0.13887867,0.6102742,0.17471889
,0.22803238,0.61005867,0.123491466
,0.26676333,0.609843,0.15288183
,0.22920668,0.60962707,0.24281904
,0.14654672,0.60941094,0.33215305
,0.08197501,0.60919464,0.3627337
,0.08257398,0.60897803,0.32066718
,0.14455694,0.6087612,0.24458039
,0.21735248,0.6085442,0.19534674
,0.2430188,0.6083269,0.21033552
,0.20046961,0.6081094,0.27643555
,0.12117708,0.60789174,0.34160814
,0.06488559,0.60767376,0.3555783
,0.074011266,0.6074556,0.3084355
,0.1416955,0.6072373,0.23780194
,0.21733367,0.60701865,0.19931313
,0.24519289,0.60679984,0.2231619
,0.20663348,0.6065808,0.29011816
,0.1337325,0.6063615,0.3456657
,0.08430958,0.60614204,0.34181824
,0.09753916,0.6059223,0.27482548
,0.16403857,0.60570234,0.18972844
,0.2332151,0.6054822,0.1475673
,0.25222233,0.6052618,0.179548
,0.20655903,0.6050412,0.2627245
,0.13152978,0.6048204,0.33610833
,0.085398614,0.6045993,0.34582928
,0.10478693,0.604378,0.28580618
,0.17630905,0.6041565,0.20328283
,0.2462492,0.60393476,0.16444585
,0.26143554,0.6037128,0.20514625
,0.21024385,0.6034906,0.3032601
,0.13245878,0.6032682,0.3935085
,0.09009531,0.6030455,0.41426963
,0.12052658,0.60282266,0.35224044
,0.20744294,0.6025996,0.25217244
,0.2917652,0.6023763,0.18456349
,0.31485367,0.60215276,0.19504896
,0.2621507,0.601929,0.27239412
,0.1742706,0.6017051,0.35810775
,0.117289096,0.60148084,0.38998744
,0.13389596,0.60125643,0.3471787
,0.21177924,0.6010318,0.26404124
,0.2928548,0.6008069,0.20354086
,0.3164711,0.6005818,0.21082333
,0.26448494,0.60035646,0.28157368
,0.17475653,0.6001309,0.36773562
