ds,y
2017-01-01,9222
2017-02-01,45132
2017-03-01,76054
2017-04-01,65044
2017-05-01,103622
2017-06-01,105607
2017-07-01,111538
2017-08-01,90300
2017-09-01,84251
2017-10-01,89814
2017-11-01,63214
2017-12-01,40419
2018-01-01,52162
2018-02-01,31894
2018-03-01,51996
2018-04-01,108748
2018-05-01,106872
2018-06-01,117475
2018-07-01,131357
2018-08-01,104205
2018-09-01,100878
2018-10-01,93825
2018-11-01,67067
2018-12-01,37534
2019-01-01,22940
2019-02-01,37304
2019-03-01,60256
2019-04-01,81660
2019-05-01,85916
2019-06-01,116830
2019-07-01,133884
2019-08-01,98244
2019-09-01,103047
2019-10-01,94766
2019-11-01,70821
2019-12-01,54815
2020-01-01,59091
2020-02-01,50745
2020-03-01,65891
2020-04-01,100354
2020-05-01,114674
2020-06-01,112533
2020-07-01,155014
2020-08-01,113814
2020-09-01,130725
2020-10-01,104884
2020-11-01,88694
2020-12-01,57081
2021-01-01,26824
2021-02-01,55484
2021-03-01,81150
2021-04-01,90223
2021-05-01,97813
2021-06-01,147320
2021-07-01,146677
2021-08-01,110218
2021-09-01,135570
2021-10-01,120495
2021-11-01,85222
2021-12-01,60367
2022-01-01,60945
2022-02-01,67312
2022-03-01,116693
2022-04-01,106108
2022-05-01,155746
2022-06-01,134430
