,datum,uhrzeit_start,uhrzeit_ende,zaehlstelle,richtung_1,richtung_2,gesamt,min-temp,max-temp,niederschlag,bewoelkung,sonnenstunden
5,2017.01.01,00:00,23:59,Olympia,181,169,350,-6.1,2.6,0.0,36,5.9
11,2017.01.02,00:00,23:59,Olympia,216,206,422,-5.4,0.8,3.2,69,0.3
17,2017.01.03,00:00,23:59,Olympia,198,196,394,-2.1,0.6,0.0,85,3.6
23,2017.01.04,00:00,23:59,Olympia,157,140,297,-0.9,1.3,2.2,94,0.0
29,2017.01.05,00:00,23:59,Olympia,156,132,288,-7.1,-0.2,0.0,88,0.0
35,2017.01.06,00:00,23:59,Olympia,95,89,184,-13.0,-6.5,0.0,43,5.0
41,2017.01.07,00:00,23:59,Olympia,59,68,127,-14.8,-4.0,4.6,74,0.0
47,2017.01.08,00:00,23:59,Olympia,94,69,163,-4.6,-1.0,2.7,98,0.0
53,2017.01.09,00:00,23:59,Olympia,299,306,605,-2.2,-0.1,0.0,99,0.0
59,2017.01.10,00:00,23:59,Olympia,277,312,589,-4.2,0.0,0.1,65,7.8
65,2017.01.11,00:00,23:59,Olympia,258,241,499,-5.3,3.8,2.2,98,0.1
71,2017.01.12,00:00,23:59,Olympia,316,309,625,1.6,5.5,7.3,96,0.0
77,2017.01.13,00:00,23:59,Olympia,299,299,598,-1.5,5.4,0.8,94,0.0
83,2017.01.14,00:00,23:59,Olympia,143,143,286,-2.3,2.0,1.5,90,0.5
89,2017.01.15,00:00,23:59,Olympia,113,115,228,-3.4,0.5,4.3,96,2.0
95,2017.01.16,00:00,23:59,Olympia,250,287,537,-4.5,-2.3,1.4,98,0.0
101,2017.01.17,00:00,23:59,Olympia,262,284,546,-7.9,-3.7,0.1,73,1.6
107,2017.01.18,00:00,23:59,Olympia,205,227,432,-8.4,-3.5,0.0,84,0.0
113,2017.01.19,00:00,23:59,Olympia,250,258,508,-8.8,-3.5,0.0,51,4.4
119,2017.01.20,00:00,23:59,Olympia,224,254,478,-11.0,-2.4,0.0,1,7.5
125,2017.01.21,00:00,23:59,Olympia,126,145,271,-11.7,-1.7,0.0,3,7.3
131,2017.01.22,00:00,23:59,Olympia,98,101,199,-13.1,-6.2,0.0,16,6.8
137,2017.01.23,00:00,23:59,Olympia,267,303,570,-13.0,-4.0,0.0,16,6.2
143,2017.01.24,00:00,23:59,Olympia,260,285,545,-11.4,-7.2,0.0,96,0.0
149,2017.01.25,00:00,23:59,Olympia,225,270,495,-9.6,-3.9,0.0,100,0.0
155,2017.01.26,00:00,23:59,Olympia,278,302,580,-8.3,-0.8,0.0,56,3.8
161,2017.01.27,00:00,23:59,Olympia,301,334,635,-10.9,5.0,0.0,1,8.6
167,2017.01.28,00:00,23:59,Olympia,193,189,382,-9.7,4.9,0.0,11,8.0
173,2017.01.29,00:00,23:59,Olympia,256,245,501,-8.2,8.7,0.0,0,8.6
179,2017.01.30,00:00,23:59,Olympia,337,362,699,-5.8,7.2,4.1,64,1.3
185,2017.01.31,00:00,23:59,Olympia,267,260,527,1.1,6.2,10.1,98,0.0
191,2017.02.01,00:00,23:59,Olympia,450,464,914,0.5,4.1,0.0,99,0.0
197,2017.02.02,00:00,23:59,Olympia,489,531,1020,-0.9,9.2,0.0,88,2.2
203,2017.02.03,00:00,23:59,Olympia,441,471,912,-1.0,8.6,0.0,79,0.4
209,2017.02.04,00:00,23:59,Olympia,368,376,744,3.6,10.1,0.0,74,4.5
215,2017.02.05,00:00,23:59,Olympia,446,371,817,1.8,8.2,0.0,61,4.6
221,2017.02.06,00:00,23:59,Olympia,485,485,970,1.4,3.4,0.0,100,0.0
227,2017.02.07,00:00,23:59,Olympia,538,561,1099,1.1,6.4,0.0,94,1.2
233,2017.02.08,00:00,23:59,Olympia,515,521,1036,-1.4,3.1,0.0,100,0.0
239,2017.02.09,00:00,23:59,Olympia,482,487,969,-2.1,0.5,0.0,93,0.6
245,2017.02.10,00:00,23:59,Olympia,467,476,943,-2.4,0.3,0.0,100,0.0
251,2017.02.11,00:00,23:59,Olympia,368,355,723,-3.8,6.3,0.0,20,8.4
257,2017.02.12,00:00,23:59,Olympia,224,226,450,-2.1,0.2,0.0,99,0.0
263,2017.02.13,00:00,23:59,Olympia,531,522,1053,-1.6,3.4,0.0,60,2.1
269,2017.02.14,00:00,23:59,Olympia,567,601,1168,-4.2,8.3,0.0,16,7.4
275,2017.02.15,00:00,23:59,Olympia,638,643,1281,-3.2,11.9,0.0,0,9.5
281,2017.02.16,00:00,23:59,Olympia,677,669,1346,-0.8,14.6,3.0,4,9.1
287,2017.02.17,00:00,23:59,Olympia,325,327,652,2.3,7.2,10.8,96,0.3
293,2017.02.18,00:00,23:59,Olympia,271,306,577,-0.6,6.2,0.0,70,0.3
299,2017.02.19,00:00,23:59,Olympia,500,539,1039,-2.7,8.9,1.1,53,6.8
305,2017.02.20,00:00,23:59,Olympia,519,518,1037,3.7,9.6,1.1,93,1.6
311,2017.02.21,00:00,23:59,Olympia,407,404,811,6.6,9.6,3.4,96,0.0
317,2017.02.22,00:00,23:59,Olympia,528,559,1087,9.1,12.3,0.1,86,2.3
323,2017.02.23,00:00,23:59,Olympia,696,695,1391,7.2,19.0,0.7,73,4.9
329,2017.02.24,00:00,23:59,Olympia,440,473,913,1.3,11.9,0.5,90,1.6
335,2017.02.25,00:00,23:59,Olympia,459,484,943,-0.9,9.7,0.0,9,9.4
