ds;values
01.01.2008 00:00;1208
02.01.2008 00:00;2108
03.01.2008 00:00;2274
04.01.2008 00:00;1994
05.01.2008 00:00;1592
06.01.2008 00:00;1571
07.01.2008 00:00;2377
08.01.2008 00:00;1865
09.01.2008 00:00;1971
10.01.2008 00:00;2054
11.01.2008 00:00;2043
12.01.2008 00:00;1353
13.01.2008 00:00;1485
14.01.2008 00:00;2130
15.01.2008 00:00;2030
16.01.2008 00:00;1997
17.01.2008 00:00;2293
18.01.2008 00:00;1939
19.01.2008 00:00;1605
20.01.2008 00:00;1371
21.01.2008 00:00;2062
22.01.2008 00:00;2194
23.01.2008 00:00;2414
24.01.2008 00:00;2249
25.01.2008 00:00;2155
26.01.2008 00:00;1404
27.01.2008 00:00;1487
28.01.2008 00:00;2520
29.01.2008 00:00;2541
30.01.2008 00:00;2387
31.01.2008 00:00;2483
01.02.2008 00:00;1778
02.02.2008 00:00;1336
03.02.2008 00:00;1635
04.02.2008 00:00;2431
05.02.2008 00:00;2619
06.02.2008 00:00;2346
07.02.2008 00:00;2570
08.02.2008 00:00;2137
09.02.2008 00:00;1698
10.02.2008 00:00;1610
11.02.2008 00:00;3309
12.02.2008 00:00;2926
13.02.2008 00:00;2578
14.02.2008 00:00;2518
15.02.2008 00:00;2316
16.02.2008 00:00;1388
17.02.2008 00:00;1793
18.02.2008 00:00;3431
19.02.2008 00:00;3928
20.02.2008 00:00;3156
21.02.2008 00:00;3234
22.02.2008 00:00;2965
23.02.2008 00:00;1977
24.02.2008 00:00;2757
25.02.2008 00:00;4721
26.02.2008 00:00;4908
27.02.2008 00:00;6489
28.02.2008 00:00;6887
29.02.2008 00:00;6296
01.03.2008 00:00;5236
02.03.2008 00:00;8565
03.03.2008 00:00;7584
04.03.2008 00:00;6388
05.03.2008 00:00;14213
06.03.2008 00:00;17958
07.03.2008 00:00;29553
08.03.2008 00:00;35125
09.03.2008 00:00;150716
10.03.2008 00:00;44032
11.03.2008 00:00;16796
12.03.2008 00:00;9879
13.03.2008 00:00;7794
14.03.2008 00:00;5881
15.03.2008 00:00;3878
16.03.2008 00:00;4311
17.03.2008 00:00;5098
18.03.2008 00:00;5579
19.03.2008 00:00;5744
20.03.2008 00:00;6753
21.03.2008 00:00;3270
22.03.2008 00:00;4467
23.03.2008 00:00;5170
24.03.2008 00:00;6046
25.03.2008 00:00;7372
26.03.2008 00:00;6197
27.03.2008 00:00;6715
28.03.2008 00:00;7444
29.03.2008 00:00;12052
30.03.2008 00:00;17754
31.03.2008 00:00;10102
01.04.2008 00:00;5779
02.04.2008 00:00;4841
03.04.2008 00:00;4157
04.04.2008 00:00;3701
05.04.2008 00:00;3733
06.04.2008 00:00;4085
07.04.2008 00:00;4988
08.04.2008 00:00;3769
09.04.2008 00:00;3836
10.04.2008 00:00;3100
11.04.2008 00:00;2634
12.04.2008 00:00;1673
13.04.2008 00:00;1786
14.04.2008 00:00;3060
15.04.2008 00:00;3042
16.04.2008 00:00;2778
17.04.2008 00:00;2687
18.04.2008 00:00;1730
19.04.2008 00:00;1702
20.04.2008 00:00;1579
21.04.2008 00:00;2833
22.04.2008 00:00;2072
23.04.2008 00:00;2629
24.04.2008 00:00;2583
25.04.2008 00:00;2350
26.04.2008 00:00;1471
27.04.2008 00:00;1533
28.04.2008 00:00;2630
29.04.2008 00:00;2713
30.04.2008 00:00;2153
01.05.2008 00:00;2090
02.05.2008 00:00;2143
03.05.2008 00:00;1415
04.05.2008 00:00;1489
05.05.2008 00:00;2733
06.05.2008 00:00;2956
07.05.2008 00:00;2469
08.05.2008 00:00;2427
